Anon Student Id	Session Id	Time	Time Zone	Student Response Type	Student Response Subtype	Tutor Response Type	Tutor Response Subtype	Level (Default)	Problem Name	Problem View	Step Name	Attempt At Step	Outcome	Selection	Action	Input	Feedback Text	Feedback Classification	Help Level	Total Num Hints	Condition Name	Condition Type	KC (Default)	KC Category (Default)	School	Class	CF(Study)	CF(Course)	CF(Section)	CF(Subsection)	CF(Unit)	CF(UserRuntimeId)	CF(StudentPastelId)	CF(VideoURL)	CF(VideoPosition)	CF(UnitId)	CF(Action)	CF(Result)	CF(Question)	CF(Choices)
1bab2e0ab6b5e44df60024a7f43ffdfe	136-3a64b4d8-20180210133121	2018-02-10 13:36:37	US/Central	HINT_REQUEST	N/A	HINT_MSG	N/A	N/A	motion-checkpoint-1	6	N/A	6	HINT				Enter “position” because to have motion an object must change it’s position.	N/A	2	3	Condition_1	N/A	motion	N/A	TAMU	IEC-LAB	2017_Spring_Study	course-v1:University+CS101+2015_T1	Motion and Speed	Motion	Motion	136	AGNUK	N/A	N/A	09d66db2dd1b44cead0ab1c258af3aa9	textbox get hint	N/A	To review, motion is the change in the (1)__________ of an object over (2)_________ . <br/><br/> Answer for (1):	N/A
1bab2e0ab6b5e44df60024a7f43ffdfe	136-3a64b4d8-20180210133121	2018-02-10 13:36:49	US/Central	ATTEMPT	N/A	RESULT	N/A	N/A	motion-checkpoint-1	7	N/A	7	CORRECT	userAnswer	value entered	position	Enter “position” because to have motion an object must change it’s position.	N/A	3	3	Condition_1	N/A	motion	N/A	TAMU	IEC-LAB	2017_Spring_Study	course-v1:University+CS101+2015_T1	Motion and Speed	Motion	Motion	136	AGNUK	N/A	N/A	09d66db2dd1b44cead0ab1c258af3aa9	textbox get answer	N/A	To review, motion is the change in the (1)__________ of an object over (2)_________ . <br/><br/> Answer for (1):	N/A
1bab2e0ab6b5e44df60024a7f43ffdfe	136-3a64b4d8-20180210133121	2018-02-10 13:37:20	US/Central	HINT_REQUEST	N/A	HINT_MSG	N/A	N/A	motion-checkpoint-1(2)	0	N/A	0	HINT				Reread the information in the 2nd paragraph under the heading, “Motion Defined”.	N/A	0	3	Condition_1	N/A	motion	N/A	TAMU	IEC-LAB	2017_Spring_Study	course-v1:University+CS101+2015_T1	Motion and Speed	Motion	Motion	136	AGNUK	N/A	N/A	09d66db2dd1b44cead0ab1c258af3aa9	textbox get hint	N/A	Answer for (2):	N/A
1bab2e0ab6b5e44df60024a7f43ffdfe	136-3a64b4d8-20180210133121	2018-02-10 13:38:34	US/Central	HINT_REQUEST	N/A	HINT_MSG	N/A	N/A	motion-checkpoint-1(2)	0	N/A	0	HINT				Any kind of motion requires a certain amount of this for it to occur.	N/A	1	3	Condition_1	N/A	motion	N/A	TAMU	IEC-LAB	2017_Spring_Study	course-v1:University+CS101+2015_T1	Motion and Speed	Motion	Motion	136	AGNUK	N/A	N/A	09d66db2dd1b44cead0ab1c258af3aa9	textbox get hint	N/A	Answer for (2):	N/A
1bab2e0ab6b5e44df60024a7f43ffdfe	136-3a64b4d8-20180210133121	2018-02-10 13:38:42	US/Central	ATTEMPT	N/A	RESULT	N/A	N/A	motion-checkpoint-1(2)	1	N/A	1	INCORRECT	userAnswer	value entered	speed	Any kind of motion requires a certain amount of this for it to occur.	N/A	2	3	Condition_1	N/A	motion	N/A	TAMU	IEC-LAB	2017_Spring_Study	course-v1:University+CS101+2015_T1	Motion and Speed	Motion	Motion	136	AGNUK	N/A	N/A	09d66db2dd1b44cead0ab1c258af3aa9	textbox get answer	N/A	Answer for (2):	N/A
1bab2e0ab6b5e44df60024a7f43ffdfe	136-3a64b4d8-20180210133121	2018-02-10 13:38:54	US/Central	HINT_REQUEST	N/A	HINT_MSG	N/A	N/A	motion-checkpoint-1(2)	1	N/A	1	HINT				Enter “time” because for motion to occur an object requires a period of time for it to occur in. 	N/A	2	3	Condition_1	N/A	motion	N/A	TAMU	IEC-LAB	2017_Spring_Study	course-v1:University+CS101+2015_T1	Motion and Speed	Motion	Motion	136	AGNUK	N/A	N/A	09d66db2dd1b44cead0ab1c258af3aa9	textbox get hint	N/A	Answer for (2):	N/A
1bab2e0ab6b5e44df60024a7f43ffdfe	136-3a64b4d8-20180210133121	2018-02-10 13:39:19	US/Central	ATTEMPT	N/A	RESULT	N/A	N/A	motion-checkpoint-1(2)	2	N/A	2	CORRECT	userAnswer	value entered	time	Enter “time” because for motion to occur an object requires a period of time for it to occur in. 	N/A	3	3	Condition_1	N/A	motion	N/A	TAMU	IEC-LAB	2017_Spring_Study	course-v1:University+CS101+2015_T1	Motion and Speed	Motion	Motion	136	AGNUK	N/A	N/A	09d66db2dd1b44cead0ab1c258af3aa9	textbox get answer	N/A	Answer for (2):	N/A
1bab2e0ab6b5e44df60024a7f43ffdfe	136-3a64b4d8-20180210133121	2018-02-10 13:39:26	US/Central	ATTEMPT	N/A	RESULT	N/A	N/A	motion_introduction_1	0	N/A	1	UNGRADED	N/A	N/A	N/A	N/A	N/A			Condition_1	N/A	motion	N/A	TAMU	IEC-LAB	2017_Spring_Study	course-v1:University+CS101+2015_T1	Motion and Speed	Motion	Motion	136	AGNUK	https://www.youtube.com/watch?v=LsiKaRQZk78	0:00:00	09d66db2dd1b44cead0ab1c258af3aa9	video loaded	N/A	N/A	N/A
1bab2e0ab6b5e44df60024a7f43ffdfe	136-3a64b4d8-20180210133121	2018-02-10 13:39:27	US/Central	ATTEMPT	N/A	RESULT	N/A	N/A	motion_introduction_1	0	N/A	2	UNGRADED	N/A	N/A	N/A	N/A	N/A			Condition_1	N/A	motion	N/A	TAMU	IEC-LAB	2017_Spring_Study	course-v1:University+CS101+2015_T1	Motion and Speed	Motion	Motion	136	AGNUK	https://www.youtube.com/watch?v=LsiKaRQZk78	0:00:00	09d66db2dd1b44cead0ab1c258af3aa9	video playing	N/A	N/A	N/A
1bab2e0ab6b5e44df60024a7f43ffdfe	136-3a64b4d8-20180210133121	2018-02-10 13:41:08	US/Central	ATTEMPT	N/A	RESULT	N/A	N/A	motion_introduction_1	0	N/A	3	UNGRADED	N/A	N/A	N/A	N/A	N/A			Condition_1	N/A	motion	N/A	TAMU	IEC-LAB	2017_Spring_Study	course-v1:University+CS101+2015_T1	Motion and Speed	Motion	Motion	136	AGNUK	https://www.youtube.com/watch?v=LsiKaRQZk78	0:01:40.124443	09d66db2dd1b44cead0ab1c258af3aa9	video end	N/A	N/A	N/A
1bab2e0ab6b5e44df60024a7f43ffdfe	136-3a64b4d8-20180210133121	2018-02-10 13:42:18	US/Central	ATTEMPT	N/A	RESULT	N/A	N/A	motion-readingcheck-2	1	N/A	1	CORRECT	userAnswer	value entered	motion	Reread the paragraph above on “Distance”.	N/A	1	3	Condition_1	N/A	motion	N/A	TAMU	IEC-LAB	2017_Spring_Study	course-v1:University+CS101+2015_T1	Motion and Speed	Motion	Motion	136	AGNUK	N/A	N/A	09d66db2dd1b44cead0ab1c258af3aa9	textbox get answer	N/A	As defined in the passage you read, ________ can be described by its speed, velocity and/or acceleration.	N/A
1bab2e0ab6b5e44df60024a7f43ffdfe	136-3a64b4d8-20180210133121	2018-02-10 13:42:22	US/Central	ATTEMPT	N/A	RESULT	N/A	N/A	N/A	0	N/A	N/A	UNGRADED	N/A	N/A	N/A	N/A	N/A			Condition_1	N/A	N/A	N/A	TAMU	IEC-LAB	2017_Spring_Study	course-v1:University+CS101+2015_T1	Motion and Speed	Motion	Motion	136	AGNUK	N/A	N/A	09d66db2dd1b44cead0ab1c258af3aa9	page forward clicked	N/A	N/A	N/A
1bab2e0ab6b5e44df60024a7f43ffdfe	136-3a64b4d8-20180210133121	2018-02-10 13:42:22	US/Central	ATTEMPT	N/A	RESULT	N/A	N/A	N/A	0	N/A	N/A	UNGRADED	N/A	N/A	N/A	N/A	N/A			Condition_1	N/A	N/A	N/A	TAMU	IEC-LAB	2017_Spring_Study	course-v1:University+CS101+2015_T1	Motion and Speed	Speed	What is speed?	136	AGNUK	N/A	N/A	df89ba697918480a9ae651566c039715	page loaded	N/A	N/A	N/A
1bab2e0ab6b5e44df60024a7f43ffdfe	136-3a64b4d8-20180210133121	2018-02-10 13:42:23	US/Central	ATTEMPT	N/A	RESULT	N/A	N/A	N/A	0	N/A	N/A	UNGRADED	N/A	N/A	N/A	N/A	N/A			Condition_1	N/A	N/A	N/A	TAMU	IEC-LAB	2017_Spring_Study	course-v1:University+CS101+2015_T1	Motion and Speed	Speed	What is speed?	136	AGNUK	N/A	N/A	df89ba697918480a9ae651566c039715	unit filled	N/A	N/A	N/A
1bab2e0ab6b5e44df60024a7f43ffdfe	136-3a64b4d8-20180210133121	2018-02-10 13:44:34	US/Central	ATTEMPT	N/A	RESULT	N/A	N/A	speed_introduction_2	0	N/A	1	UNGRADED	N/A	N/A	N/A	N/A	N/A			Condition_1	N/A	speed	N/A	TAMU	IEC-LAB	2017_Spring_Study	course-v1:University+CS101+2015_T1	Motion and Speed	Speed	What is speed?	136	AGNUK	https://www.youtube.com/watch?v=_nAKwhZyXnw	0:00:00	df89ba697918480a9ae651566c039715	video loaded	N/A	N/A	N/A
1bab2e0ab6b5e44df60024a7f43ffdfe	136-3a64b4d8-20180210133121	2018-02-10 13:44:35	US/Central	ATTEMPT	N/A	RESULT	N/A	N/A	speed_introduction_2	0	N/A	2	UNGRADED	N/A	N/A	N/A	N/A	N/A			Condition_1	N/A	speed	N/A	TAMU	IEC-LAB	2017_Spring_Study	course-v1:University+CS101+2015_T1	Motion and Speed	Speed	What is speed?	136	AGNUK	https://www.youtube.com/watch?v=_nAKwhZyXnw	0:00:00	df89ba697918480a9ae651566c039715	video playing	N/A	N/A	N/A
1bab2e0ab6b5e44df60024a7f43ffdfe	136-3a64b4d8-20180210133121	2018-02-10 13:46:47	US/Central	ATTEMPT	N/A	RESULT	N/A	N/A	speed_introduction_2	0	N/A	3	UNGRADED	N/A	N/A	N/A	N/A	N/A			Condition_1	N/A	speed	N/A	TAMU	IEC-LAB	2017_Spring_Study	course-v1:University+CS101+2015_T1	Motion and Speed	Speed	What is speed?	136	AGNUK	https://www.youtube.com/watch?v=_nAKwhZyXnw	0:02:11.921000	df89ba697918480a9ae651566c039715	video end	N/A	N/A	N/A
1bab2e0ab6b5e44df60024a7f43ffdfe	136-3a64b4d8-20180210133121	2018-02-10 13:46:49	US/Central	ATTEMPT	N/A	RESULT	N/A	N/A	N/A	0	N/A	N/A	UNGRADED	N/A	N/A	N/A	N/A	N/A			Condition_1	N/A	N/A	N/A	TAMU	IEC-LAB	2017_Spring_Study	course-v1:University+CS101+2015_T1	Motion and Speed	Speed	What is speed?	136	AGNUK	N/A	N/A	df89ba697918480a9ae651566c039715	page forward clicked	N/A	N/A	N/A
1bab2e0ab6b5e44df60024a7f43ffdfe	136-3a64b4d8-20180210133121	2018-02-10 13:48:56	US/Central	ATTEMPT	N/A	RESULT	N/A	N/A	algorithm_distance_speed	1	N/A	1	CORRECT	userAnswer	value entered	A	Speed = distance/time	N/A	1	4	Condition_1	N/A	algorithm	N/A	TAMU	IEC-LAB	2017_Spring_Study	course-v1:University+CS101+2015_T1	Motion and Speed	Speed	Calculating Speed	136	AGNUK	N/A	N/A	ee88dcb904124e4fb1b816ae4940e9e0	textbox get answer	N/A	1. A truck pulling a horse trailer is moving at a constant speed.  If the driver covered 60 miles in 3 hours, which algorithm below is correctly set up to find the average speed the truck and trailer maintained?  The correct algorithm is (1)____________.  The average speed of the trailer is (2)____________mph. Please enter the first answer below. <br/><br/> Answer for (1):	N/A
1bab2e0ab6b5e44df60024a7f43ffdfe	136-3a64b4d8-20180210133121	2018-02-10 13:49:09	US/Central	ATTEMPT	N/A	RESULT	N/A	N/A	algorithm-1	1	N/A	1	CORRECT	userAnswer	value entered	20	Speed = distance/time	N/A	1	3	Condition_1	N/A	algorithm	N/A	TAMU	IEC-LAB	2017_Spring_Study	course-v1:University+CS101+2015_T1	Motion and Speed	Speed	Calculating Speed	136	AGNUK	N/A	N/A	ee88dcb904124e4fb1b816ae4940e9e0	textbox get answer	N/A	Answer for (2):	N/A
1bab2e0ab6b5e44df60024a7f43ffdfe	136-3a64b4d8-20180210133121	2018-02-10 13:49:13	US/Central	ATTEMPT	N/A	RESULT	N/A	N/A	N/A	0	N/A	N/A	UNGRADED	N/A	N/A	N/A	N/A	N/A			Condition_1	N/A	N/A	N/A	TAMU	IEC-LAB	2017_Spring_Study	course-v1:University+CS101+2015_T1	Motion and Speed	Speed	What is speed?	136	AGNUK	N/A	N/A	df89ba697918480a9ae651566c039715	page forward clicked	N/A	N/A	N/A
1bab2e0ab6b5e44df60024a7f43ffdfe	136-3a64b4d8-20180210133121	2018-02-10 13:50:32	US/Central	ATTEMPT	N/A	RESULT	N/A	N/A	speed_introduction_2	0	N/A	1	UNGRADED	N/A	N/A	N/A	N/A	N/A			Condition_1	N/A	speed	N/A	TAMU	IEC-LAB	2017_Spring_Study	course-v1:University+CS101+2015_T1	Motion and Speed	Speed	Let's Practice!	136	AGNUK	https://www.youtube.com/watch?v=8glfUANjBbY	0:00:00	c2712115c1ff4c899a9e505c1efac8c1	video loaded	N/A	N/A	N/A
1bab2e0ab6b5e44df60024a7f43ffdfe	136-3a64b4d8-20180210133121	2018-02-10 13:50:32	US/Central	ATTEMPT	N/A	RESULT	N/A	N/A	speed_introduction_2	0	N/A	2	UNGRADED	N/A	N/A	N/A	N/A	N/A			Condition_1	N/A	speed	N/A	TAMU	IEC-LAB	2017_Spring_Study	course-v1:University+CS101+2015_T1	Motion and Speed	Speed	Let's Practice!	136	AGNUK	https://www.youtube.com/watch?v=8glfUANjBbY	0:00:00	c2712115c1ff4c899a9e505c1efac8c1	video playing	N/A	N/A	N/A
1bab2e0ab6b5e44df60024a7f43ffdfe	136-3a64b4d8-20180210133121	2018-02-10 13:53:04	US/Central	ATTEMPT	N/A	RESULT	N/A	N/A	speed_introduction_2	0	N/A	3	UNGRADED	N/A	N/A	N/A	N/A	N/A			Condition_1	N/A	speed	N/A	TAMU	IEC-LAB	2017_Spring_Study	course-v1:University+CS101+2015_T1	Motion and Speed	Speed	Let's Practice!	136	AGNUK	https://www.youtube.com/watch?v=8glfUANjBbY	0:02:31.104594	c2712115c1ff4c899a9e505c1efac8c1	video paused	N/A	N/A	N/A
1bab2e0ab6b5e44df60024a7f43ffdfe	136-3a64b4d8-20180210133121	2018-02-10 13:53:24	US/Central	ATTEMPT	N/A	RESULT	N/A	N/A	speed_introduction_2	0	N/A	4	UNGRADED	N/A	N/A	N/A	N/A	N/A			Condition_1	N/A	speed	N/A	TAMU	IEC-LAB	2017_Spring_Study	course-v1:University+CS101+2015_T1	Motion and Speed	Speed	Let's Practice!	136	AGNUK	https://www.youtube.com/watch?v=8glfUANjBbY	0:02:31.104600	c2712115c1ff4c899a9e505c1efac8c1	video playing	N/A	N/A	N/A
1bab2e0ab6b5e44df60024a7f43ffdfe	136-3a64b4d8-20180210133121	2018-02-10 13:53:29	US/Central	ATTEMPT	N/A	RESULT	N/A	N/A	speed_introduction_2	0	N/A	5	UNGRADED	N/A	N/A	N/A	N/A	N/A			Condition_1	N/A	speed	N/A	TAMU	IEC-LAB	2017_Spring_Study	course-v1:University+CS101+2015_T1	Motion and Speed	Speed	Let's Practice!	136	AGNUK	https://www.youtube.com/watch?v=8glfUANjBbY	0:02:25.355932	c2712115c1ff4c899a9e505c1efac8c1	video paused	N/A	N/A	N/A
1bab2e0ab6b5e44df60024a7f43ffdfe	136-3a64b4d8-20180210133121	2018-02-10 13:53:29	US/Central	ATTEMPT	N/A	RESULT	N/A	N/A	speed_introduction_2	0	N/A	6	UNGRADED	N/A	N/A	N/A	N/A	N/A			Condition_1	N/A	speed	N/A	TAMU	IEC-LAB	2017_Spring_Study	course-v1:University+CS101+2015_T1	Motion and Speed	Speed	Let's Practice!	136	AGNUK	https://www.youtube.com/watch?v=8glfUANjBbY	0:02:25.355932	c2712115c1ff4c899a9e505c1efac8c1	video loaded	N/A	N/A	N/A
1bab2e0ab6b5e44df60024a7f43ffdfe	136-3a64b4d8-20180210133121	2018-02-10 13:53:29	US/Central	ATTEMPT	N/A	RESULT	N/A	N/A	speed_introduction_2	0	N/A	7	UNGRADED	N/A	N/A	N/A	N/A	N/A			Condition_1	N/A	speed	N/A	TAMU	IEC-LAB	2017_Spring_Study	course-v1:University+CS101+2015_T1	Motion and Speed	Speed	Let's Practice!	136	AGNUK	https://www.youtube.com/watch?v=8glfUANjBbY	0:02:25.356932	c2712115c1ff4c899a9e505c1efac8c1	video playing	N/A	N/A	N/A
1bab2e0ab6b5e44df60024a7f43ffdfe	136-3a64b4d8-20180210133121	2018-02-10 13:54:48	US/Central	ATTEMPT	N/A	RESULT	N/A	N/A	speed_introduction_2	0	N/A	8	UNGRADED	N/A	N/A	N/A	N/A	N/A			Condition_1	N/A	speed	N/A	TAMU	IEC-LAB	2017_Spring_Study	course-v1:University+CS101+2015_T1	Motion and Speed	Speed	Let's Practice!	136	AGNUK	https://www.youtube.com/watch?v=8glfUANjBbY	0:03:44.049341	c2712115c1ff4c899a9e505c1efac8c1	video end	N/A	N/A	N/A
1bab2e0ab6b5e44df60024a7f43ffdfe	136-3a64b4d8-20180210133121	2018-02-10 13:54:49	US/Central	ATTEMPT	N/A	RESULT	N/A	N/A	N/A	0	N/A	N/A	UNGRADED	N/A	N/A	N/A	N/A	N/A			Condition_1	N/A	N/A	N/A	TAMU	IEC-LAB	2017_Spring_Study	course-v1:University+CS101+2015_T1	Motion and Speed	Speed	What is speed?	136	AGNUK	N/A	N/A	df89ba697918480a9ae651566c039715	page forward clicked	N/A	N/A	N/A
1bab2e0ab6b5e44df60024a7f43ffdfe	136-3a64b4d8-20180210133121	2018-02-10 13:56:13	US/Central	ATTEMPT	N/A	RESULT	N/A	N/A	N/A	0	N/A	N/A	UNGRADED	N/A	N/A	N/A	N/A	N/A			Condition_1	N/A	N/A	N/A	TAMU	IEC-LAB	2017_Spring_Study	course-v1:University+CS101+2015_T1	Motion and Speed	Speed	What is speed?	136	AGNUK	N/A	N/A	df89ba697918480a9ae651566c039715	page forward clicked	N/A	N/A	N/A
1bab2e0ab6b5e44df60024a7f43ffdfe	136-3a64b4d8-20180210133121	2018-02-10 13:58:13	US/Central	ATTEMPT	N/A	RESULT	N/A	N/A	measure/graph motion-q1	1	N/A	1	INCORRECT	userAnswer	value entered	green	The horse began at zero and slowly increased its speed.	N/A	1	4	Condition_1	N/A	measure/graph motion	N/A	TAMU	IEC-LAB	2017_Spring_Study	course-v1:University+CS101+2015_T1	Motion and Speed	Speed	Graphing Motion	136	AGNUK	N/A	N/A	1b84b3d9ac694638bcce10a547d60049	textbox get answer	N/A	The ______________line represents the horse as it began its reining pattern.	N/A
1bab2e0ab6b5e44df60024a7f43ffdfe	136-3a64b4d8-20180210133121	2018-02-10 13:58:28	US/Central	ATTEMPT	N/A	RESULT	N/A	N/A	measure/graph motion-q1	2	N/A	2	INCORRECT	userAnswer	value entered	red	The horse began at zero and slowly increased its speed.	N/A	1	4	Condition_1	N/A	measure/graph motion	N/A	TAMU	IEC-LAB	2017_Spring_Study	course-v1:University+CS101+2015_T1	Motion and Speed	Speed	Graphing Motion	136	AGNUK	N/A	N/A	1b84b3d9ac694638bcce10a547d60049	textbox get answer	N/A	The ______________line represents the horse as it began its reining pattern.	N/A
1bab2e0ab6b5e44df60024a7f43ffdfe	136-3a64b4d8-20180210133121	2018-02-10 13:58:40	US/Central	ATTEMPT	N/A	RESULT	N/A	N/A	measure/graph motion-q1	3	N/A	3	CORRECT	userAnswer	value entered	blue	The horse began at zero and slowly increased its speed.	N/A	1	4	Condition_1	N/A	measure/graph motion	N/A	TAMU	IEC-LAB	2017_Spring_Study	course-v1:University+CS101+2015_T1	Motion and Speed	Speed	Graphing Motion	136	AGNUK	N/A	N/A	1b84b3d9ac694638bcce10a547d60049	textbox get answer	N/A	The ______________line represents the horse as it began its reining pattern.	N/A
1bab2e0ab6b5e44df60024a7f43ffdfe	136-3a64b4d8-20180210133121	2018-02-10 13:59:40	US/Central	ATTEMPT	N/A	RESULT	N/A	N/A	measure/graph motion-q2	1	N/A	1	CORRECT	userAnswer	value entered	red	A steady speed would mean the speed and time are increasing at an equal rate.	N/A	1	3	Condition_1	N/A	measure/graph motion	N/A	TAMU	IEC-LAB	2017_Spring_Study	course-v1:University+CS101+2015_T1	Motion and Speed	Speed	Graphing Motion	136	AGNUK	N/A	N/A	1b84b3d9ac694638bcce10a547d60049	textbox get answer	N/A	The first part of the ___________line could represent a horse galloping at a slow steady speed across a large pasture? 	N/A
